2367330,26525,52769138,2014-06-16
2367400,26565,52869138,2014-01-23
2367400,26565,52969138,2014-02-18
2367400,26565,53059138,2014-03-15
2367400,26565,53129138,2014-04-09
2367400,26565,53261388,2014-04-11
2281910,26567,53361388,2014-01-07
2281910,26567,53461388,2014-02-25
2281910,26567,53518988,2014-04-10
2370280,26582,54991488,2014-09-26
2370490,26596,55671488,2014-03-31
2370570,26594,55750988,2014-01-18
2370570,26594,55830488,2014-02-20
2370570,26594,55909988,2014-03-18
2370570,26594,55989988,2014-05-03
2370570,26594,56069488,2014-05-17
2370570,26594,56169488,2014-06-19
2370570,26594,56227988,2014-07-17
2295570,26589,56893788,2014-01-30
2295570,26589,57193788,2014-03-31
2295570,26589,57545788,2014-04-29
2295570,26589,57589488,2014-05-08
2370790,26590,57800488,2014-01-29
2370790,26590,57920488,2014-03-28
2370790,26590,58010488,2014-04-25
2370790,26590,58099488,2014-05-29
2370790,26590,58200488,2014-07-08
2372750,26626,59265388,2014-03-17
2372750,26626,59293888,2014-03-26
2372760,26615,59588388,2014-01-29
2374200,26669,59688388,2014-02-06
2374200,26669,59788388,2014-03-06
2374200,26669,59883388,2014-05-14
2374200,26669,60176388,2014-07-05
2374360,26629,60345388,2014-02-10
2374850,26636,60445388,2014-01-23
2374850,26636,60643888,2014-04-25
2065000,26659,60733888,2014-01-24
2375110,26639,60810488,2014-01-28
2375150,26658,60865788,2014-02-28
2377180,26666,61572488,2014-01-23
2377200,26668,61620488,2014-01-18
2378410,26681,62038188,2014-01-09
2378410,26681,62258188,2014-03-01
2378410,26681,62433188,2014-05-17
2378410,26681,62658188,2014-09-18
2378410,26681,62858188,2014-12-11
2378410,26681,63108188,2015-02-20
2378410,26681,63131688,2015-02-21
2378670,26688,63166688,2014-01-08
2378670,26688,63211688,2014-02-12
2378670,26688,63246688,2014-03-20
2378670,26688,63296688,2014-04-10
2378670,26688,63341688,2014-05-07
2378670,26688,63391688,2014-05-16
2378670,26688,63441688,2014-08-26
2378670,26688,63491688,2014-09-19
2378670,26688,63591688,2014-10-27
2378670,26688,63631688,2014-11-08
2378670,26688,63831688,2014-11-22
2320050,26836,64339688,2014-01-13
2320050,26836,64382688,2014-01-19
2380350,26714,64532688,2014-01-09
2380350,26714,64682688,2014-02-03
2380350,26714,64852688,2014-03-06
2380350,26714,65022688,2014-04-09
2380980,26717,66714688,2014-01-30
2381040,26719,66849688,2014-02-03
2381040,26719,66984688,2014-03-06
2381220,26725,67034688,2014-01-14
2381220,26725,67084688,2014-01-24
2381220,26725,67134688,2014-02-06
2381220,26725,67182688,2014-02-26
2381220,26725,67282688,2014-03-13
2381220,26725,67378188,2014-04-11
2381570,26737,67584688,2014-01-07
2386690,26783,69781988,2014-01-18
2386690,26783,69821988,2014-02-04
2386690,26783,69871988,2014-02-08
2388020,26805,70585888,2014-01-07
2388020,26805,70604888,2014-01-13
2388020,26805,70635238,2014-01-21
2390830,26829,72650968,2014-01-02
2391150,26858,72805468,2014-01-07
2391150,26858,72959968,2014-02-05
2391150,26858,73114468,2014-03-05
2391320,26831,73169968,2014-01-23
2391320,26831,73336968,2014-02-14
2391330,26832,73431968,2014-03-26
2391330,26832,73551968,2014-04-10
2391330,26832,73665768,2014-05-12
2392390,26862,74084968,2014-01-23
2392390,26862,74414968,2014-02-15
2392390,26862,74508968,2014-02-28
2392390,26862,74622968,2014-03-18
2392390,26862,74707968,2014-04-16
2391860,26842,75520868,2014-01-04
2391860,26842,75597468,2014-02-01
2391860,26842,75674068,2014-03-01
2392430,26863,78522918,2014-01-02
2392430,26863,78637918,2014-01-28
2392430,26863,78755918,2014-02-27
2392430,26863,78875918,2014-03-29
2392430,26863,78995918,2014-05-03
2392430,26863,79103918,2014-06-27
2393540,26893,79526718,2014-01-21
2393540,26893,79596718,2014-02-01
2393540,26893,79666718,2014-02-19
2393540,26893,79736718,2014-03-04
2393540,26893,79856718,2014-03-31
2393540,26893,79934718,2014-04-11
2393540,26893,80624718,2014-04-23
2396040,26926,83007718,2014-01-14
2396040,26926,83028918,2014-01-21
2396040,26926,83050118,2014-01-30
2396040,26926,83071318,2014-02-06
2396040,26926,83131318,2014-02-22
2396040,26926,83176318,2014-04-12
2396040,26926,83236318,2014-05-14
2396040,26926,83260518,2014-06-26
2396380,26943,84282518,2014-01-10
2396380,26943,84332518,2014-02-08
2396380,26943,84382518,2014-03-12
2396380,26943,84527518,2014-05-15
2396380,26943,84572518,2014-06-26
2396380,26943,84622518,2014-07-12
2396380,26943,84833018,2014-08-14
2397630,26955,86242518,2014-01-11
2397630,26955,86310018,2014-02-12
2397630,26955,86377518,2014-03-15
2397980,26965,86557518,2014-01-04
2398260,26976,86655518,2014-01-21
2398260,26976,86753518,2014-02-18
2398260,26976,86851518,2014-03-18
2398820,26991,87011718,2014-01-10
2398820,26991,87080718,2014-02-04
2398820,26991,87435218,2014-03-07
2398830,26981,87577018,2014-01-21
2399410,26982,87577118,2014-02-10
2399530,26984,87637318,2014-01-13
2400130,26992,87687318,2015-02-05
2400130,26992,87737318,2015-03-10
2400130,26992,87777318,2015-04-22
2400130,26992,87817318,2015-05-12
2401940,27013,89291018,2014-01-27
2401940,27013,89596018,2014-02-25
2401940,27013,89901018,2014-03-26
2401940,27013,90206018,2014-04-26
2401940,27013,90511018,2014-05-25
2401940,27013,90816018,2014-06-26
2401940,27013,91121018,2014-08-26
2401940,27013,91426018,2014-09-25
2401940,27013,91731018,2014-10-29
2401940,27013,92341018,2014-11-26
2402020,27010,92391018,2014-01-02
2402020,27010,92431018,2014-01-30
2402020,27010,92459018,2014-02-11
2402020,27010,92499018,2014-02-21
2402020,27010,92544018,2014-03-03
2402020,27010,92594018,2014-03-26
2402020,27010,92644018,2014-04-02
2402020,27010,92744018,2014-04-14
2402020,27010,92794018,2014-04-30
2402020,27010,92844018,2014-05-06
2402020,27010,92894018,2014-05-19
2402020,27010,92933918,2014-06-09
2402030,27034,93017918,2014-01-22
2402030,27034,93101918,2014-02-22
2402030,27034,93185918,2014-03-26
2402030,27034,93269918,2014-04-29
2402030,27034,93341918,2014-06-04
2402300,27017,93561718,2014-01-07
2402300,27017,93779018,2014-02-06
2402300,27017,93997018,2014-03-06
2402300,27017,94214318,2014-04-08
2402300,27017,94425218,2014-05-06
2402900,27047,94579418,2014-01-31
2402900,27047,94679418,2014-03-01
2402900,27047,94810718,2014-04-05
2402920,27068,94885718,2014-01-10
2402920,27068,95035718,2014-01-30
2402920,27068,95115718,2014-03-14
2402920,27068,95180718,2014-03-21
2402950,27030,95338718,2014-01-13
2402950,27030,95438718,2014-02-11
2402950,27030,95578718,2014-03-05
2402950,27030,95778718,2014-04-30
2402950,27030,95928718,2014-06-11
2402950,27030,95964226,2014-06-26
2403590,27053,96148726,2014-01-21
2404000,27064,98741726,2014-01-10
2404000,27064,98804226,2014-01-21
2404000,27064,98866726,2014-02-14
2404000,27064,98929226,2014-02-28
2404000,27064,98991726,2014-03-11
2404000,27064,99054226,2014-03-25
2404000,27064,99116726,2014-04-09
2406010,27072,100453926,2014-01-31
2406010,27072,100594926,2014-03-18
2406010,27072,100737076,2014-03-29
2406010,27072,100876646,2014-05-07
2407330,27083,101807846,2014-02-03
2407330,27083,101906446,2014-02-24
2407330,27083,102005046,2014-03-17
2407330,27083,102102646,2014-05-05
2408160,27108,103171046,2014-01-22
2408160,27108,103283046,2014-02-17
2408160,27108,103395046,2014-03-18
2408160,27108,103507046,2014-04-22
2408160,27108,103619046,2014-05-27
2408160,27108,103731046,2014-06-26
2408160,27108,103843046,2014-07-25
2408160,27108,103955046,2014-08-30
2408160,27108,104067046,2014-09-18
2408160,27108,104179046,2014-10-23
2408180,27093,104321246,2014-01-24
2408180,27093,104463446,2014-03-04
2408180,27093,104613446,2014-04-10
2408180,27093,104746796,2014-05-16
2409280,27100,105184296,2014-01-07
2409280,27100,105316696,2014-02-07
2409410,27121,106550996,2014-01-18
2409410,27121,106693196,2014-02-24
2409410,27121,106835396,2014-03-17
2409410,27121,106976046,2014-04-26
2411260,27130,109337246,2014-01-07
2411260,27130,109437246,2014-02-06
2411260,27130,109537246,2014-03-06
2411260,27130,109637246,2014-04-09
2411260,27130,109737246,2014-05-07
2411260,27130,109837246,2014-06-07
2411260,27130,109929646,2014-07-05
2411620,27129,110008276,2014-01-04
2411620,27129,110108276,2014-01-21
2411620,27129,110178276,2014-02-11
2411620,27129,110253276,2014-03-07
2411620,27129,110353276,2014-04-07
2411620,27129,110403276,2014-04-28
2411620,27129,110408276,2014-05-03
2412560,27161,114668676,2014-01-02
2412560,27161,114783576,2014-02-10
2413140,27209,115911446,2014-02-15
2414070,27185,120601046,2014-02-11
2414070,27185,120629046,2014-03-06
2420890,27310,134159566,2014-01-09
2421680,27311,135528066,2014-02-28
2421680,27311,135646066,2014-04-24
2421680,27311,135679066,2014-07-08
2422930,27320,136685466,2014-01-27
2422930,27320,136881866,2014-03-26
2422930,27320,136931866,2014-04-29
2422930,27320,137078266,2014-05-26
2424320,27402,143914766,2014-01-21
2424320,27402,144114766,2014-02-27
2424320,27402,144314766,2014-03-30
2424320,27402,144514766,2014-04-21
2424320,27402,144764766,2014-05-31
2424320,27402,144795766,2014-06-24
2424450,27347,145709966,2015-02-03
2424450,27347,145809966,2015-03-07
2424450,27347,145909966,2015-04-30
2424450,27347,146009966,2015-05-31
2424450,27347,146109966,2015-07-21
2424450,27347,146159966,2015-08-20
2424450,27347,146259966,2015-09-19
2425010,27362,148764966,2014-01-02
2425010,27362,148869966,2014-02-25
2425010,27362,148974966,2014-03-25
2425010,27362,149374966,2014-04-25
2425010,27362,149463466,2014-05-08
2427890,27422,155834366,2014-01-02
2427890,27422,155930066,2014-02-03
2427890,27422,156023266,2014-03-04
2427890,27422,156118966,2014-04-03
2427890,27422,156229466,2014-05-02
2427890,27422,156239466,2014-05-13
2429880,27452,157997766,2014-01-13
2429880,27452,158165766,2014-02-19
2429880,27452,158333766,2014-03-18
2429880,27452,158501766,2014-04-15
2429880,27452,158669766,2014-05-17
2429880,27452,158837766,2014-06-17
2430410,27445,159402266,2014-01-18
2430410,27445,159509266,2014-02-19
2430410,27445,159616266,2014-03-19
2430410,27445,159723266,2014-04-21
2430410,27445,159830266,2014-05-20
2430410,27445,159937266,2014-06-20
2431050,27459,165131466,2014-03-10
2431050,27459,165231466,2014-03-12
2431050,27459,165376466,2014-04-05
2431050,27459,165609466,2014-05-05
2431650,27503,167087766,2014-01-18
2431650,27503,167167766,2014-02-20
2431650,27503,167357766,2014-05-10
2431650,27503,167562566,2014-07-18
2431770,27470,167716566,2014-01-07
2431770,27470,167966566,2014-02-04
2431770,27470,168021316,2014-02-19
2433170,27483,170368616,2014-01-21
2433170,27483,170462716,2014-02-20
2433170,27483,170555016,2014-03-17
2433810,27510,171505016,2014-01-08
2433810,27510,171705016,2014-03-05
2433810,27510,171900016,2014-03-28
2433810,27510,172198016,2014-05-20
2433810,27510,172498016,2014-07-22
2433810,27510,172528016,2014-07-22
2433810,27510,172560016,2014-07-28
2434460,27509,172787516,2014-02-07
2434460,27509,172870516,2014-04-02
2434460,27509,172953516,2014-04-09
2434460,27509,173202516,2014-04-11
2434890,27515,173400916,2014-01-08
2434890,27515,173455916,2014-01-22
2434890,27515,173570916,2014-03-21
2434890,27515,173668916,2014-04-19
2434890,27515,173748916,2014-06-20
2434890,27515,173837916,2014-08-02
2434890,27515,173925916,2014-08-21
2434890,27515,174005916,2014-09-05
2434890,27515,174105916,2014-09-18
2434890,27515,174172816,2014-10-21
2434890,27515,174252816,2014-10-22
2435730,27535,178441116,2014-01-11
2435730,27535,178491116,2014-02-03
2435730,27535,178591116,2014-02-26
2435730,27535,178691116,2014-03-13
2435730,27535,178791116,2014-04-05
2435730,27535,178871116,2014-04-15
2435730,27535,178971116,2014-05-06
2435730,27535,179071116,2014-05-17
2435730,27535,179143316,2014-06-06
2440000,27633,183422616,2014-01-04
2440000,27633,183492616,2014-02-21
2440000,27633,183539616,2014-03-10
2440000,27633,183586616,2014-03-19
2440000,27633,183633616,2014-04-11
2440000,27633,183681616,2014-05-05
2440000,27633,183731616,2014-05-19
2440000,27633,183781616,2014-06-06
2440000,27633,183828616,2014-07-21
2440000,27633,183878616,2014-08-19
2440000,27633,183928616,2014-08-31
2440000,27633,183973616,2014-10-09
2440000,27633,184023616,2014-11-04
2440000,27633,184173616,2014-12-03
2438500,27595,184268616,2014-01-24
2438500,27595,184363616,2014-02-28
2438500,27595,184458616,2014-03-31
2438500,27595,184547616,2014-05-02
2438500,27595,184647316,2014-05-31
2439270,27592,185221816,2014-01-24
2439270,27592,185468316,2014-03-11
2439270,27592,185591316,2014-03-31
2439270,27592,185714816,2014-04-08
2439270,27592,185839816,2014-04-23
2439270,27592,186700816,2014-05-21
2441000,27616,187100816,2014-01-16
2441000,27616,187400816,2014-02-10
2441000,27616,187695816,2014-03-14
2441000,27616,187961816,2014-05-06
2441000,27616,188258816,2014-06-04
2441000,27616,188553816,2014-07-03
2441000,27616,188853816,2014-08-02
2441000,27616,189076816,2014-10-01
2440000,27627,189113816,2014-02-07
2440000,27627,189153816,2014-02-24
2440000,27627,189207816,2014-03-22
2440000,27627,189247816,2014-04-23
2440850,27597,189321416,2014-01-29
2440950,27599,189413416,2014-01-25
2440950,27599,189505416,2014-03-19
2440950,27599,189597416,2014-04-21
2440950,27599,189693416,2014-05-31
2441000,27617,190711916,2014-02-28
2441000,27617,190806916,2014-05-31
2441000,27617,191006916,2014-06-13
2441000,27617,191056916,2014-11-12
2441000,27617,191096916,2014-11-25
2441000,27617,191146916,2014-12-06
2441000,27617,191186916,2014-12-27
2441000,27617,191216916,2015-01-16
2441000,27617,191236916,2015-01-29
2441420,27609,192665350,2014-01-13
2441420,27609,193709554,2014-12-11
2441550,27615,193823554,2014-01-28
2441550,27615,193937554,2014-03-11
2441550,27615,194049554,2014-04-15
2441550,27615,194163554,2014-05-10
2441550,27615,194330554,2014-06-16
2776570,27635,194884554,2014-01-23
2776570,27635,195004554,2014-02-21
2776570,27635,195132754,2014-03-22
2776570,27635,195260754,2014-04-24
2776720,27642,197652904,2014-02-21
2776720,27642,197702904,2014-03-04
2776720,27642,197762904,2014-04-09
2776720,27642,197862904,2014-05-02
2776720,27642,198062904,2014-06-03
2776720,27642,198097154,2014-06-17
2445150,27661,202073704,2014-01-02
2445150,27661,202173704,2014-01-27
2445150,27661,202215304,2014-01-28
2445150,27661,202333704,2014-03-03
2445150,27661,202411704,2014-04-07
2445150,27661,202511704,2014-05-07
2445150,27661,202631704,2014-06-24
2445150,27661,202745104,2014-07-22
2445150,27661,202985104,2014-09-08
2445150,27661,203044104,2014-10-20
2445600,27651,203819104,2014-03-21
2446950,27667,206309404,2014-01-03
2446950,27667,206379404,2014-02-10
2446950,27667,206433404,2014-03-10
2446950,27667,206548404,2014-04-03
2446950,27667,206608404,2014-05-03
2446950,27667,206703404,2014-06-30
2446950,27667,206803404,2014-09-02
2446950,27667,206993404,2014-11-07
2776850,27672,208639904,2014-01-29
2776850,27672,208799904,2014-02-28
2776850,27672,209119904,2014-04-11
2776850,27672,209279904,2014-05-21
2776850,27672,209439904,2014-07-25
2776850,27672,209593904,2014-09-03
2776850,27672,209748904,2014-10-25
2449270,27696,216969454,2014-03-06
2449270,27696,217069454,2014-04-21
2449270,27696,217145454,2014-05-21
2449270,27696,217240454,2014-06-27
2449270,27696,217320454,2014-08-08
2450860,27712,219159654,2014-01-17
2450860,27712,219242154,2014-02-18
2450860,27712,219322154,2014-03-26
